time,open,close,high,low,volume,money
2020/5/7 9:31,2876.47,2873.08,2876.47,2872.78,907288,0
2020/5/7 9:32,2872.75,2869.95,2872.75,2869.95,410307,0
2020/5/7 9:33,2870.31,2870.28,2871.27,2869.56,391156,0
2020/5/7 9:34,2870.67,2871.66,2872.34,2870.67,364079,0
2020/5/7 9:35,2871.68,2872.11,2872.11,2871.38,355139,0
2020/5/7 9:36,2871.91,2870.3,2871.91,2870.15,325600,0
2020/5/7 9:37,2869.92,2870.7,2870.7,2869.59,329515,0
2020/5/7 9:38,2870.91,2868.99,2870.91,2868.39,310656,0
2020/5/7 9:39,2869.21,2870.08,2870.08,2869.01,292132,0
2020/5/7 9:40,2869.73,2868.01,2869.73,2867.83,293750,0
2020/5/7 9:41,2867.67,2868.07,2868.55,2867.67,303261,0
2020/5/7 9:42,2868.33,2871.25,2871.25,2868.33,269222,0
2020/5/7 9:43,2871.47,2870.51,2871.97,2870.51,249855,0
2020/5/7 9:44,2870.51,2870.73,2871.05,2870.22,232649,0
2020/5/7 9:45,2870.97,2869.86,2871.41,2869.86,216012,0
2020/5/7 9:46,2869.95,2867.14,2869.95,2866.57,272843,0
2020/5/7 9:47,2867.02,2867.93,2867.93,2866.65,213646,0
2020/5/7 9:48,2867.88,2868.84,2868.85,2867.66,188027,0
2020/5/7 9:49,2869.17,2870.03,2870.3,2868.67,187534,0
2020/5/7 9:50,2870.17,2869.9,2871.36,2869.9,183856,0
2020/5/7 9:51,2870,2869.32,2870.55,2868.69,202373,0
2020/5/7 9:52,2869.39,2869.91,2870.01,2869.39,161346,0
2020/5/7 9:53,2869.97,2868.1,2869.97,2868.02,171250,0
2020/5/7 9:54,2868.61,2869.4,2869.4,2868.61,151963,0
2020/5/7 9:55,2869.34,2869.79,2870.22,2868.9,144662,0
2020/5/7 9:56,2869.79,2871.03,2871.03,2869.79,163626,0
2020/5/7 9:57,2871.01,2868.78,2871.01,2868.32,185273,0
2020/5/7 9:58,2868.5,2869.31,2869.76,2868.5,142965,0
2020/5/7 9:59,2869.3,2870.08,2870.2,2869.3,133831,0
2020/5/7 10:00,2870.18,2871.36,2871.51,2870.18,137842,0
2020/5/7 10:01,2871.42,2871.25,2872.27,2871.05,188281,0
2020/5/7 10:02,2871.85,2872.31,2872.89,2871.81,158989,0
2020/5/7 10:03,2872.56,2871.1,2872.71,2870.9,176622,0
2020/5/7 10:04,2871.12,2871.62,2871.8,2870.87,152073,0
2020/5/7 10:05,2871.65,2871.51,2871.65,2871.03,158880,0
2020/5/7 10:06,2871.85,2870.27,2872.13,2870.27,152095,0
2020/5/7 10:07,2870.69,2870.14,2870.92,2869.58,147567,0
2020/5/7 10:08,2870.25,2870.26,2870.44,2869.69,144243,0
2020/5/7 10:09,2870.03,2869.5,2870.36,2869.2,137872,0
2020/5/7 10:10,2869.62,2869.84,2869.88,2869.2,133115,0
2020/5/7 10:11,2869.97,2867.96,2869.97,2867.96,159010,0
2020/5/7 10:12,2868.04,2867.78,2868.32,2867.7,167577,0
2020/5/7 10:13,2867.61,2867.13,2867.82,2867.13,161197,0
2020/5/7 10:14,2867.15,2868.71,2868.71,2867.15,142112,0
2020/5/7 10:15,2869.15,2869.17,2869.76,2868.55,126050,0
2020/5/7 10:16,2869.17,2869.68,2869.68,2869,112848,0
2020/5/7 10:17,2869.61,2869.6,2869.89,2868.96,107818,0
2020/5/7 10:18,2869.67,2869.47,2869.67,2868.71,101463,0
2020/5/7 10:19,2869,2868.23,2869.59,2868.12,102227,0
2020/5/7 10:20,2867.77,2867.71,2868.3,2867.06,127813,0
2020/5/7 10:21,2867.58,2867.01,2867.58,2866.3,125708,0
2020/5/7 10:22,2866.65,2868.08,2868.08,2866.56,131265,0
2020/5/7 10:23,2868.72,2869.87,2869.87,2868.35,107963,0
2020/5/7 10:24,2870.1,2870.8,2870.8,2869.57,95719,0
2020/5/7 10:25,2870.49,2871.26,2871.26,2870.4,92400,0
2020/5/7 10:26,2871.4,2871.86,2871.86,2870.82,90239,0
2020/5/7 10:27,2871.52,2871.27,2871.93,2870.55,93668,0
2020/5/7 10:28,2869.76,2870.68,2871.13,2869.76,87452,0
2020/5/7 10:29,2870.71,2870.83,2870.9,2869.56,79069,0
2020/5/7 10:30,2871.3,2871.23,2871.68,2870.66,74063,0
2020/5/7 10:31,2871.29,2869.1,2871.51,2868.79,114172,0
2020/5/7 10:32,2869.58,2869.42,2869.58,2868.82,81420,0
2020/5/7 10:33,2869.85,2870.32,2870.51,2869.5,80069,0
2020/5/7 10:34,2870.08,2870.8,2870.8,2869.81,79000,0
2020/5/7 10:35,2871.02,2871.17,2871.23,2870.3,80006,0
2020/5/7 10:36,2870.83,2869.94,2871.09,2869.69,81647,0
2020/5/7 10:37,2870.05,2870.22,2870.32,2869.45,77068,0
